# BUNDESLIGA
FC Bayern Muenchen,logos/bayern-munich-logo.png
Schalke 04,logos/FC_Schalke_04_Logo.svg.png
Borussia Dortmund,logos/Borussia_Dortmund.png
Borussia Mgladbach,logos/Vfl_borussia_monchengladbach.png
# EPL
Arsenal,logos/Arsenal-icon.png
Chelsea,logos/Chelsea_FC.png
Manchester United,logos/manchester_united_logo.png
Manchester City,logos/manchester-city-logo.png
Tottenham Hotspur,logos/Tottenham-Hotspur-icon.png
Liverpool,logos/liverpool-logo.png
Everton,logos/Everton_FC_Crest-colour.svg.png
# SPAIN LA LIGA
LaLiga,logos/2000px-Liga_BBVA.png
Real Madrid,logos/2000px-Real_Madrid_CF.png
Ath Madrid,logos/2000px-Atletico_Madrid_logo.png
La Coruna,logos/2000px-RC_Deportivo_La_Coruna_logo.png
Valencia,logos/Valencia_Cf_Logo_original.png
Barcelona,logos/2000px-FCB.png
