1. Round,,,,,,
21/01/2012,,,,,,
17:00,Racing Santander,-0,Getafe CF,1:2 (1:1),,
17:00,Espanyol Barcelona,-0,Granada CF,3:0 (2:0),,
19:00,Real Sociedad,-0,Atlético Madrid,0:4 (0:1),,
21:00,Real Betis,-0,Sevilla FC,1:1 (1:1),,
22/01/2012,,,,,,
11:00,CA Osasuna,-0,Valencia CF,1:1 (0:0),,
15:00,Rayo Vallecano,-0,RCD Mallorca,0:1 (0:0),,
17:00,Málaga CF,-0,FC Barcelona,1:4 (0:1),,
18:45,Levante UD,-0,Real Zaragoza,0:0 (0:0),,
20:30,Real Madrid,-0,Athletic Bilbao,4:1 (1:1),,
23/01/2012,,,,,,
20:00,Villarreal CF,-0,Sporting Gijón,3:0 (0:0),,
2. Round,,,,,,
27/08/2011,,,,,,
17:00,Sporting Gijón,-0,Real Sociedad,1:2 (0:1),,
19:00,Valencia CF,-0,Racing Santander,4:3 (1:2),,
21:00,Granada CF,-0,Real Betis,0:1 (0:0),,
28/08/2011,,,,,,
11:00,Atlético Madrid,-0,CA Osasuna,0:0 (0:0),,
15:00,Athletic Bilbao,-0,Rayo Vallecano,1:1 (0:0),,
17:00,RCD Mallorca,-0,Espanyol Barcelona,1:0 (0:0),,
17:00,Getafe CF,-0,Levante UD,1:1 (0:0),,
19:00,Real Zaragoza,-0,Real Madrid,0:6 (0:2),,
21:00,Sevilla FC,-0,Málaga CF,2:1 (2:0),,
29/08/2011,,,,,,
20:00,FC Barcelona,-0,Villarreal CF,5:0 (2:0),,
3. Round,,,,,,
10/09/2011,,,,,,
17:00,Real Sociedad,-0,FC Barcelona,2:2 (0:2),,
17:00,Villarreal CF,-0,Sevilla FC,2:2 (1:1),,
19:00,Real Madrid,-0,Getafe CF,4:2 (1:1),,
21:00,Valencia CF,-0,Atlético Madrid,1:0 (0:0),,
11/09/2011,,,,,,
11:00,Real Betis,-0,RCD Mallorca,1:0 (0:0),,
15:00,Racing Santander,-0,Levante UD,0:0 (0:0),,
17:00,CA Osasuna,-0,Sporting Gijón,2:1 (2:0),,
17:00,Rayo Vallecano,-0,Real Zaragoza,0:0 (0:0),,
21:00,Espanyol Barcelona,-0,Athletic Bilbao,2:1 (1:0),,
12/09/2011,,,,,,
20:00,Málaga CF,-0,Granada CF,4:0 (2:0),,
4. Round,,,,,,
17/09/2011,,,,,,
17:00,Sporting Gijón,-0,Valencia CF,0:1 (0:1),,
17:00,Granada CF,-0,Villarreal CF,1:0 (0:0),,
17:00,RCD Mallorca,-0,Málaga CF,0:1 (0:1),,
19:00,FC Barcelona,-0,CA Osasuna,8:0 (5:0),,
21:00,Sevilla FC,-0,Real Sociedad,1:0 (0:0),,
18/09/2011,,,,,,
11:00,Getafe CF,-0,Rayo Vallecano,0:1 (0:1),,
15:00,Real Zaragoza,-0,Espanyol Barcelona,2:1 (1:0),,
17:00,Atlético Madrid,-0,Racing Santander,4:0 (2:0),,
19:00,Levante UD,-0,Real Madrid,1:0 (0:0),,
21:00,Athletic Bilbao,-0,Real Betis,2:3 (1:3),,
5. Round,,,,,,
20/09/2011,,,,,,
19:00,CA Osasuna,-0,Sevilla FC,0:0 (0:0),,
19:00,Real Sociedad,-0,Granada CF,1:0 (0:0),,
21:00,Villarreal CF,-0,RCD Mallorca,2:0 (1:0),,
21/09/2011,,,,,,
19:00,Atlético Madrid,-0,Sporting Gijón,4:0 (1:0),,
19:00,Málaga CF,-0,Athletic Bilbao,1:0 (0:0),,
19:00,Rayo Vallecano,-0,Levante UD,1:2 (0:2),,
19:00,Racing Santander,-0,Real Madrid,0:0 (0:0),,
21:00,Valencia CF,-0,FC Barcelona,2:2 (2:1),,
22/09/2011,,,,,,
19:00,Espanyol Barcelona,-0,Getafe CF,1:0 (0:0),,
21:00,Real Betis,-0,Real Zaragoza,4:3 (2:1),,
6. Round,,,,,,
24/09/2011,,,,,,
17:00,Sevilla FC,-0,Valencia CF,1:0 (1:0),,
17:00,Athletic Bilbao,-0,Villarreal CF,1:1 (1:0),,
19:00,Real Madrid,-0,Rayo Vallecano,6:2 (2:1),,
21:00,FC Barcelona,-0,Atlético Madrid,5:0 (3:0),,
25/09/2011,,,,,,
11:00,RCD Mallorca,-0,Real Sociedad,2:1 (1:1),,
15:00,Levante UD,-0,Espanyol Barcelona,3:1 (1:0),,
17:00,Granada CF,-0,CA Osasuna,1:1 (0:1),,
19:00,Sporting Gijón,-0,Racing Santander,0:0 (0:0),,
21:00,Real Zaragoza,-0,Málaga CF,0:0 (0:0),,
26/09/2011,,,,,,
20:00,Getafe CF,-0,Real Betis,1:0 (1:0),,
7. Round,,,,,,
01/10/2011,,,,,,
17:00,CA Osasuna,-0,RCD Mallorca,2:2 (1:1),,
17:00,Villarreal CF,-0,Real Zaragoza,2:2 (1:2),,
17:00,Racing Santander,-0,Rayo Vallecano,1:1 (0:1),,
19:00,Valencia CF,-0,Granada CF,1:0 (1:0),,
21:00,Málaga CF,-0,Getafe CF,3:2 (0:0),,
02/10/2011,,,,,,
11:00,Real Sociedad,-0,Athletic Bilbao,1:2 (0:1),,
15:00,Real Betis,-0,Levante UD,0:1 (0:1),,
17:00,Atlético Madrid,-0,Sevilla FC,0:0 (0:0),,
19:00,Sporting Gijón,-0,FC Barcelona,0:1 (0:1),,
21:00,Espanyol Barcelona,-0,Real Madrid,0:4 (0:1),,
8. Round,,,,,,
15/10/2011,,,,,,
17:00,RCD Mallorca,-0,Valencia CF,1:1 (0:1),,
17:00,Getafe CF,-0,Villarreal CF,0:0 (0:0),,
17:00,Real Madrid,-0,Real Betis,4:1 (0:0),,
19:00,FC Barcelona,-0,Racing Santander,3:0 (2:0),,
21:00,Granada CF,-0,Atlético Madrid,0:0 (0:0),,
16/10/2011,,,,,,
11:00,Rayo Vallecano,-0,Espanyol Barcelona,0:1 (0:0),,
15:00,Real Zaragoza,-0,Real Sociedad,2:0 (1:0),,
17:00,Levante UD,-0,Málaga CF,3:0 (3:0),,
21:00,Sevilla FC,-0,Sporting Gijón,2:1 (1:0),,
17/10/2011,,,,,,
20:00,Athletic Bilbao,-0,CA Osasuna,3:1 (3:0),,
9. Round,,,,,,
22/10/2011,,,,,,
17:00,Sporting Gijón,-0,Granada CF,2:0 (2:0),,
17:00,Racing Santander,-0,Espanyol Barcelona,0:1 (0:0),,
