1. Round,,,,,
18/08/2012,03:00:00 PM,Arsenal FC,-,Sunderland AFC,0:0 (0:0)
,03:00:00 PM,Fulham FC,-,Norwich City,5:0 (2:0)
,03:00:00 PM,Queens Park Rangers,-,Swansea City,0:5 (0:1)
,03:00:00 PM,Reading FC,-,Stoke City,1:1 (0:1)
,03:00:00 PM,West Bromwich Albion,-,Liverpool FC,3:0 (1:0)
,03:00:00 PM,West Ham United,-,Aston Villa,1:0 (1:0)
,05:30:00 PM,Newcastle United,-,Tottenham Hotspur,2:1 (0:0)
19/08/2012,01:30:00 PM,Wigan Athletic,-,Chelsea FC,0:2 (0:2)
,04:00:00 PM,Manchester City,-,Southampton FC,3:2 (1:0)
20/08/2012,08:00:00 PM,Everton FC,-,Manchester United,1:0 (0:0)
2. Round,,,,,
25/08/2012,12:45:00 PM,Swansea City,-,West Ham United,3:0 (2:0)
,03:00:00 PM,Aston Villa,-,Everton FC,1:3 (0:3)
,03:00:00 PM,Manchester United,-,Fulham FC,3:2 (3:1)
,03:00:00 PM,Norwich City,-,Queens Park Rangers,1:1 (1:1)
,03:00:00 PM,Southampton FC,-,Wigan Athletic,0:2 (0:0)
,03:00:00 PM,Tottenham Hotspur,-,West Bromwich Albion,1:1 (0:0)
,05:30:00 PM,Chelsea FC,-,Newcastle United,2:0 (2:0)
26/08/2012,01:30:00 PM,Stoke City,-,Arsenal FC,0:0 (0:0)
,04:00:00 PM,Liverpool FC,-,Manchester City,2:2 (1:0)
11/12/12,07:45:00 PM,Sunderland AFC,-,Reading FC,3:0 (2:0)
3. Round,,,,,
22/08/2012,07:45:00 PM,Chelsea FC,-,Reading FC,4:2 (1:2)
01/09/12,12:45:00 PM,West Ham United,-,Fulham FC,3:0 (3:0)
,03:00:00 PM,Swansea City,-,Sunderland AFC,2:2 (1:2)
,03:00:00 PM,Tottenham Hotspur,-,Norwich City,1:1 (0:0)
,03:00:00 PM,West Bromwich Albion,-,Everton FC,2:0 (0:0)
,03:00:00 PM,Wigan Athletic,-,Stoke City,2:2 (1:1)
,05:30:00 PM,Manchester City,-,Queens Park Rangers,3:1 (1:0)
02/09/12,01:30:00 PM,Liverpool FC,-,Arsenal FC,0:2 (0:1)
,04:00:00 PM,Newcastle United,-,Aston Villa,1:1 (0:1)
,04:00:00 PM,Southampton FC,-,Manchester United,2:3 (1:1)
4. Round,,,,,
15/09/2012,12:45:00 PM,Norwich City,-,West Ham United,0:0 (0:0)
,03:00:00 PM,Arsenal FC,-,Southampton FC,6:1 (4:1)
,03:00:00 PM,Aston Villa,-,Swansea City,2:0 (1:0)
,03:00:00 PM,Fulham FC,-,West Bromwich Albion,3:0 (2:0)
,03:00:00 PM,Manchester United,-,Wigan Athletic,4:0 (0:0)
,03:00:00 PM,Queens Park Rangers,-,Chelsea FC,0:0 (0:0)
,03:00:00 PM,Stoke City,-,Manchester City,1:1 (1:1)
,05:30:00 PM,Sunderland AFC,-,Liverpool FC,1:1 (1:0)
16/09/2012,04:00:00 PM,Reading FC,-,Tottenham Hotspur,1:3 (0:1)
17/09/2012,08:00:00 PM,Everton FC,-,Newcastle United,2:2 (1:0)
5. Round,,,,,
22/09/2012,12:45:00 PM,Swansea City,-,Everton FC,0:3 (0:2)
,03:00:00 PM,Chelsea FC,-,Stoke City,1:0 (0:0)
,03:00:00 PM,Southampton FC,-,Aston Villa,4:1 (0:1)
,03:00:00 PM,West Bromwich Albion,-,Reading FC,1:0 (0:0)
,03:00:00 PM,West Ham United,-,Sunderland AFC,1:1 (0:1)
,03:00:00 PM,Wigan Athletic,-,Fulham FC,1:2 (0:1)
23/09/2012,01:30:00 PM,Liverpool FC,-,Manchester United,1:2 (0:0)
,03:00:00 PM,Newcastle United,-,Norwich City,1:0 (1:0)
,04:00:00 PM,Manchester City,-,Arsenal FC,1:1 (1:0)
,04:00:00 PM,Tottenham Hotspur,-,Queens Park Rangers,2:1 (0:1)
6. Round,,,,,
29/09/2012,12:45:00 PM,Arsenal FC,-,Chelsea FC,1:2 (1:1)
,03:00:00 PM,Everton FC,-,Southampton FC,3:1 (3:1)
,03:00:00 PM,Fulham FC,-,Manchester City,1:2 (1:1)
