1. Round,,,,
20/08/2010,,,,
14:30,FC St. Pauli,-0,1. FC Nürnberg,3:2 (1:0)
17:30,VfL Wolfsburg,-0,Bayer Leverkusen,2:3 (1:0)
17/10/2010,,,,
14:30,1. FC Kaiserslautern,-0,Eintracht Frankfurt,0:3 (0:1)
16:30,1899 Hoffenheim,-0,Bor. Mönchengladbach,3:2 (0:1)
9. Round,,,,
22/10/2010,,,,
19:30,Hamburger SV,-0,Bayern München,0:0 (0:0)
23/10/2010,,,,
14:30,Eintracht Frankfurt,-0,FC Schalke 04,0:0 (0:0)
14:30,Bor. Mönchengladbach,-0,Werder Bremen,1:4 (0:2)
14:30,SC Freiburg,-0,1. FC Kaiserslautern,2:1 (1:1)
14:30,Hannover 96,-0,1. FC Köln,2:1 (2:0)
14:30,1. FC Nürnberg,-0,VfL Wolfsburg,2:1 (1:1)
24/10/2010,,,,
14:30,Borussia Dortmund,-0,1899 Hoffenheim,1:1 (0:1)
16:30,Bayer Leverkusen,-0,1. FSV Mainz 05,0:1 (0:0)
16:30,VfB Stuttgart,-0,FC St. Pauli,2:0 (1:0)
10. Round,,,,
29/10/2010,,,,
19:30,Bayern München,-0,SC Freiburg,4:2 (1:0)
30/10/2010,,,,
14:30,Werder Bremen,-0,1. FC Nürnberg,2:3 (1:1)
14:30,VfL Wolfsburg,-0,VfB Stuttgart,2:0 (1:0)
14:30,1. FC Köln,-0,Hamburger SV,3:2 (2:2)
14:30,1. FC Kaiserslautern,-0,Bor. Mönchengladbach,3:0 (0:0)
14:30,FC St. Pauli,-0,Eintracht Frankfurt,1:3 (1:1)
17:30,FC Schalke 04,-0,Bayer Leverkusen,0:1 (0:0)
31/10/2010,,,,
14:30,1. FSV Mainz 05,-0,Borussia Dortmund,0:2 (0:1)
16:30,1899 Hoffenheim,-0,Hannover 96,4:0 (1:0)
11. Round,,,,
05/11/2010,,,,
19:30,FC Schalke 04,-0,FC St. Pauli,3:0 (1:0)
06/11/2010,,,,
14:30,Hamburger SV,-0,1899 Hoffenheim,2:1 (1:1)
14:30,Eintracht Frankfurt,-0,VfL Wolfsburg,3:1 (2:0)
14:30,Bor. Mönchengladbach,-0,Bayern München,3:3 (1:2)
